image_name;width;height;file_size_kb;contrast;otsu_threshold;black_pixels;white_pixels
Viral Pneumonia-1.png;299;299;37,66;59,76;98,0;26289;63112
Viral Pneumonia-10.png;299;299;37,4;49,11;118,0;30405;58996
Viral Pneumonia-100.png;299;299;36,22;66,67;93,0;25228;64173
Viral Pneumonia-1000.png;299;299;39,24;64,15;97,0;25645;63756
Viral Pneumonia-1001.png;299;299;38,27;46,45;132,0;15422;73979
Viral Pneumonia-1002.png;299;299;42,67;63,29;101,0;33228;56173
Viral Pneumonia-1003.png;299;299;42,71;57,31;109,0;33346;56055
Viral Pneumonia-1004.png;299;299;55,63;39,65;100,0;21763;67638
Viral Pneumonia-1005.png;299;299;55,09;57,41;124,0;36191;53210
Viral Pneumonia-1006.png;299;299;32,47;57,33;94,0;29012;60389
Viral Pneumonia-1007.png;299;299;35,4;37,5;122,0;8697;80704
Viral Pneumonia-1008.png;299;299;37,75;53,32;121,0;39124;50277
Viral Pneumonia-1009.png;299;299;35,4;72,85;98,0;33061;56340
Viral Pneumonia-101.png;299;299;40,22;62,62;107,0;28597;60804
Viral Pneumonia-1010.png;299;299;35,53;60,64;111,0;13326;76075
Viral Pneumonia-1011.png;299;299;37,56;60,24;121,0;25372;64029
Viral Pneumonia-1012.png;299;299;36,15;61,93;81,0;36695;52706
Viral Pneumonia-1013.png;299;299;39,38;74,0;116,0;33843;55558
Viral Pneumonia-1014.png;299;299;39,25;50,41;131,0;25346;64055
Viral Pneumonia-1015.png;299;299;38,51;51,03;97,0;48442;40959
Viral Pneumonia-1016.png;299;299;40,28;66,84;111,0;32937;56464
Viral Pneumonia-1017.png;299;299;64,13;53,95;109,0;18016;71385
Viral Pneumonia-1018.png;299;299;39,61;61,07;116,0;34431;54970
Viral Pneumonia-1019.png;299;299;36,02;69,59;93,0;30841;58560
Viral Pneumonia-102.png;299;299;36,71;69,63;95,0;28259;61142
Viral Pneumonia-1020.png;299;299;34,95;76,39;95,0;33498;55903
Viral Pneumonia-1021.png;299;299;39,92;62,31;100,0;39342;50059
Viral Pneumonia-1022.png;299;299;34,3;77,22;108,0;28488;60913
Viral Pneumonia-1023.png;299;299;42,89;65,85;124,0;33886;55515
Viral Pneumonia-1024.png;299;299;38,02;67,36;106,0;38021;51380
Viral Pneumonia-1025.png;299;299;38,71;74,57;121,0;30240;59161
Viral Pneumonia-1026.png;299;299;40,84;61,21;129,0;26523;62878
Viral Pneumonia-1027.png;299;299;42,51;66,99;138,0;31931;57470
Viral Pneumonia-1028.png;299;299;37,6;66,56;103,0;35930;53471
Viral Pneumonia-1029.png;299;299;37,44;74,65;110,0;30538;58863
Viral Pneumonia-103.png;299;299;36,18;75,6;101,0;22612;66789
Viral Pneumonia-1030.png;299;299;38,57;77,7;100,0;29197;60204
Viral Pneumonia-1031.png;299;299;37,24;73,03;106,0;23118;66283
Viral Pneumonia-1032.png;299;299;40,24;70,57;125,0;27756;61645
Viral Pneumonia-1033.png;299;299;37,28;65,09;100,0;25908;63493
Viral Pneumonia-1034.png;299;299;37,09;74,1;100,0;27619;61782
Viral Pneumonia-1035.png;299;299;40,95;60,18;118,0;17498;71903
Viral Pneumonia-1036.png;299;299;38,62;63,05;90,0;44192;45209
Viral Pneumonia-1037.png;299;299;33,79;68,4;90,0;22224;67177
Viral Pneumonia-1038.png;299;299;36,15;65,07;94,0;40571;48830
Viral Pneumonia-1039.png;299;299;39,12;71,41;114,0;27385;62016
Viral Pneumonia-104.png;299;299;36,62;65,63;87,0;26328;63073
Viral Pneumonia-1040.png;299;299;37,63;72,76;113,0;28615;60786
Viral Pneumonia-1041.png;299;299;39,6;64,43;110,0;26746;62655
Viral Pneumonia-1042.png;299;299;39,12;65,47;103,0;32079;57322
Viral Pneumonia-1043.png;299;299;40,19;70,08;108,0;22267;67134
Viral Pneumonia-1044.png;299;299;39,35;77,57;110,0;36672;52729
Viral Pneumonia-1045.png;299;299;37,33;70,57;104,0;38240;51161
Viral Pneumonia-1046.png;299;299;40,54;62,95;123,0;36681;52720
Viral Pneumonia-1047.png;299;299;32,85;78,28;94,0;29229;60172
Viral Pneumonia-1048.png;299;299;40,71;76,58;118,0;32405;56996
Viral Pneumonia-1049.png;299;299;39,21;70,65;107,0;27242;62159
Viral Pneumonia-105.png;299;299;37,08;69,65;118,0;20037;69364
Viral Pneumonia-1050.png;299;299;36,62;67,48;99,0;28758;60643
Viral Pneumonia-1051.png;299;299;34,53;49,67;118,0;9502;79899
Viral Pneumonia-1052.png;299;299;39,04;44,32;116,0;28064;61337
Viral Pneumonia-1053.png;299;299;39,04;44,32;116,0;28064;61337
Viral Pneumonia-1054.png;299;299;34,41;68,1;88,0;34034;55367
Viral Pneumonia-1055.png;299;299;37,54;66,39;100,0;27208;62193
Viral Pneumonia-1056.png;299;299;40,96;61,59;99,0;33922;55479
